Province,Capital,Region,Population,PopulationRank,AreaKM2,AreaRank,PopDensityPerKM2,PopDensityRank
Abra,Bangued,CAR,"230,953",67,"4,198.20",33,55.01,76
Agusan del Norte,Cabadbaran,Region XIII,"612,405",46,"3,546.86",40,172.66,49
Agusan del Sur,Prosperidad,Region XIII,"609,447",47,"9,989.52",5,61.01,73
Aklan,Kalibo,Region VI,"495,122",57,"1,821.42",66,271.83,24
Albay,Legazpi,Region V,"1,190,823",24,"2,565.77",57,464.12,11
Antique,San Jose de Buenavista,Region VI,"515,265",54,"2,729.17",53,188.8,44
Apayao,Kabugao,CAR,"103,633",77,"4,351.23",31,23.82,79
Aurora,Baler,Region III,"187,802",69,"3,147.32",47,59.67,74
Basilan,Isabela,ARMM,"496,505",56,"2,217.13",59,223.94,37
Bataan,Balanga,Region III,"662,153",43,"1,372.98",72,482.27,9
Batanes,Basco,Region II,"15,974",80,219.01,80,72.94,69
Batangas,Batangas City,Region IV-A,"2,245,869",8,"3,119.72",48,719.89,7
Benguet,La Trinidad,CAR,"674,459",42,"2,826.59",50,238.61,35
Biliran,Naval,Region VIII,"150,031",74,536.01,77,279.9,23
Bohol,Tagbilaran,Region VII,"1,230,110",23,"4,820.95",26,255.16,30
Bukidnon,Malaybalay,Region X,"1,190,284",25,"10,498.59",4,113.38,62
Bulacan,Malolos,Region III,"2,826,936",4,"2,774.85",51,1018.77,5
Cagayan,Tuguegarao,Region II,"1,072,571",28,"9,295.75",6,115.38,60
Camarines Norte,Daet,Region V,"513,785",55,"2,320.07",58,221.45,38
Camarines Sur,Pili,Region V,"1,693,821",15,"5,465.26",19,309.93,20
Camiguin,Mambajao,Region X,"81,293",79,237.95,79,341.64,16
Capiz,Roxas,Region VI,"701,664",39,"2,594.64",56,270.43,25
Catanduanes,Virac,Region V,"232,757",66,"1,492.16",71,155.99,51
Cavite,Imus,Region IV-A,"2,856,765",3,"1,512.41",69,1888.88,2
Cebu,Cebu City,Region VII,"3,848,730",1,"5,331.07",22,724.66,6
Compostela Valley,Nabunturan,Region XI,"637,366",44,"4,479.77",28,142.28,54
Cotabato,Kidapawan,Region XII,"1,121,974",27,"9,008.90",7,124.54,58
Davao del Norte,Tagum,Region XI,"847,440",32,"3,426.97",44,247.29,32
Davao del Sur,Digos,Region XI,"2,185,743",10,"6,667.06",12,327.84,18
Davao Oriental,Mati,Region XI,"486,104",58,"5,670.07",18,85.73,68
Dinagat Islands,San Jose,Region XIII,"120,813",76,"1,036.34",74,116.58,59
Eastern Samar,Borongan,Region VIII,"405,114",62,"4,640.73",27,87.3,67
Guimaras,Jordan,Region VI,"151,238",73,604.57,76,250.16,31
Ifugao,Lagawe,CAR,"180,711",71,"2,628.21",54,68.76,72
Ilocos Norte,Laoag,Region I,"547,284",49,"3,504.30",42,156.17,50
Ilocos Sur,Vigan,Region I,"632,255",45,"2,595.96",55,243.55,33
Iloilo,Iloilo City,Region VI,"2,110,588",11,"4,899.35",25,267.19,26
Isabela,Ilagan,Region II,"1,401,495",18,"13,778.76",2,101.71,64
Kalinga,Tabuk,CAR,"182,326",70,"3,231.25",46,56.43,75
La Union,San Fernando,Region I,"720,972",36,"1,503.75",70,479.45,10
Laguna,Santa Cruz,Region IV-A,"2,473,530",6,"1,823.55",65,1356.44,3
Lanao del Norte,Tubod,Region X,"846,329",33,"3,824.79",35,221.3,39
Lanao del Sur,Marawi,ARMM,"1,138,544",26,"12,051.85",3,94.47,65
Leyte,Tacloban,Region VIII,"1,722,036",14,"6,515.05",13,264.32,27
Maguindanao,Shariff Aguak,ARMM,"1,532,868",17,"7,623.75",10,201.06,42
Marinduque,Boac,Region IV-B,"229,636",68,952.58,75,241.07,34
Masbate,Masbate City,Region V,"768,939",34,"4,151.78",34,185.21,45
Misamis Occidental,Oroquieta,Region X,"531,680",52,"2,055.22",63,258.7,29
Misamis Oriental,Cagayan de Oro,Region X,"1,302,851",19,"3,515.70",41,370.58,14
Mountain Province,Bontoc,CAR,"148,661",75,"2,157.38",60,68.91,71
Negros Occidental,Bacolod,Region VI,"2,869,766",2,"7,965.21",9,360.29,15
Negros Oriental,Dumaguete,Region VII,"1,231,904",22,"5,385.53",21,228.74,36
Northern Samar,Catarman,Region VIII,"549,759",48,"3,692.93",37,148.87,53
Nueva Ecija,Palayan,Region III,"1,853,853",13,"5,751.33",17,322.33,19
Nueva Vizcaya,Bayombong,Region II,"397,837",63,"4,378.80",30,90.86,66
Occidental Mindoro,Mamburao,Region IV-B,"421,592",61,"5,865.71",16,71.87,70
Oriental Mindoro,Calapan,Region IV-B,"735,769",35,"4,238.38",32,173.6,48
Palawan,Puerto Princesa,Region IV-B,"892,660",30,"17,030.75",1,52.41,77
